CODE,Unnamed: 0,ESTACION,LON,LAT,ALT,Codigo,Umbral1,Umbral2,min1,min2
X47E0D438,0.0,ALAMOR,-80.39788,-4.48047,116.0,47E0D438,9.3,10.2,0.0,0.0
X47E09732,1.0,LA ARDILLA,-80.39014,-4.48956,116.0,47E09732,3.1,16.9,0.0,0.0
X472606FA,2.0,AYABACA,-79.71077,-4.63776,2633.0,472606FA,5.6,11.5,0.0,0.0
X47E01126,3.0,CABO INGA H,-80.39898,-3.97972,143.0,47E01126,4.4,11.9,0.0,0.0
X472F00A6,4.0,CABO INGA M,-80.40182,-3.97594,228.0,472F00A6,5.0,15.8,0.0,0.0
X472EF2D8,5.0,CAMPAMENTO SEDE,-80.42964,-3.55117,12.0,472EF2D8,0.4,7.0,0.0,0.0
X472F86B2,6.0,CANCHAQUE,-79.60535,-5.40058,1270.0,472F86B2,2.8,14.7,0.0,0.0
X472F13D0,7.0,CA?AVERAL,-80.65058,-3.93911,144.0,472F13D0,1.4,6.8,0.0,0.0
X472FB328,8.0,CHALACO,-79.83,-5.03389,1791.0,472FB328,4.9,9.0,0.0,0.0
X47E0E1A2,9.0,CHIPILLICO,-80.11716,-4.71357,340.0,47E0E1A2,1.4,14.7,0.0,0.0
X472F6540,10.0,CHULUCANAS,-80.16954,-5.10844,89.0,472F6540,3.5,11.8,0.0,0.0
X47E037CA,11.0,CORRAL DEL MEDIO,-79.89136,-5.18858,207.0,,,,,
X4724B080,12.0,EL CIRUELO,-80.16707,-4.29909,243.0,4724B080,1.4,7.4,0.0,0.0
X47E9177A,13.0,EL CIRUELO ANA,-80.16704,-4.29905,243.0,47E9177A,2.2,11.2,0.0,0.0
X4724A3F6,14.0,EL TIGRE,-80.45689,-3.7687,44.0,4724A3F6,0.3,2.2,0.0,0.0
X472F50DA,15.0,EL VIRREY,-79.98416,-5.53579,206.0,472F50DA,2.5,22.3,0.0,0.0
X47E074C0,16.0,HACIENDA BARRIOS,-79.69924,-5.28985,324.0,47E074C0,1.8,8.9,0.0,0.0
X47E281B0,17.0,HUALCUY,-79.61317,-4.74767,1970.0,47E281B0,1.7,8.7,0.0,0.0
X472FE354,18.0,HUANCABAMBA,-79.45399,-5.24681,1954.0,472FE354,0.7,4.0,0.0,0.0
X472761E6,19.0,HUARMACA,-79.52542,-5.56599,2178.0,,,,,
X472F43AC,20.0,HUASIMO,-80.505,-3.99945,602.0,472F43AC,2.7,12.8,0.0,0.0
X47E0F2D4,21.0,LAGARTERA,-80.06956,-4.7285,420.0,,,,,
X472FD6CE,22.0,LANCONES,-80.54717,-4.64288,133.0,472FD6CE,1.2,9.2,0.0,0.0
X47E0C74E,23.0,PUENTE MACARA,-79.96412,-4.39338,385.0,47E0C74E,0.4,1.3,0.0,0.0
X472FA05E,24.0,MALACASI,-79.85794,-5.33977,153.0,472FA05E,4.7,16.3,0.0,0.0
X472F353C,25.0,MATAPALO,-80.19833,-3.68278,70.0,472F353C,3.0,12.5,0.0,0.0
X472F7636,26.0,MORROPON,-79.97107,-5.19465,128.0,472F7636,3.1,13.8,0.0,0.0
X472FC5B8,27.0,PAIMAS,-79.94584,-4.63439,609.0,472FC5B8,1.6,12.9,0.0,0.0
X47E0415A,28.0,PUENTE ?ACARA,-80.17296,-5.1128,91.0,,,,,
X4724C610,29.0,PUENTE ?ACARA ANA,-80.17145,-5.11137,89.0,,,,,
X47E0B1DE,30.0,PUENTE SIMON RODRIGUEZ,-81.02038,-4.87999,12.0,47E0B1DE,1.6,11.1,0.0,0.0
X47E024BC,31.0,PUENTE TUMBES,-80.4609,-3.5709,10.0,47E024BC,0.3,2.0,0.0,0.0
X472F264A,32.0,RICA PLAYA,-80.4575,-3.81333,113.0,472F264A,0.5,2.8,0.0,0.0
X472F95C4,33.0,SALITRAL,-79.83794,-5.34588,169.0,,,,,
X47E067B6,34.0,SALITRAL EHA,-79.83761,-5.34602,156.0,47E067B6,6.0,17.3,0.0,0.0
X47E08444,35.0,SAN PEDRO,-80.0162,-5.07954,240.0,,,,,
X472FF022,36.0,SAPILLICA,-79.99972,-4.79639,1406.0,472FF022,2.8,13.6,0.0,0.0
X47E0522C,37.0,TAMBO GRANDE,-80.34703,-4.93848,60.0,47E0522C,5.8,11.4,0.0,0.0
X47E3055E,38.0,CHANCAY BA?OS,-78.86721,-6.57489,1645.0,47E3055E,1.5,5.5,0.0,0.0
X4724D566,39.0,CIRATO,-79.07384167,-6.655825,959.0,4724D566,0.2,2.3,0.0,0.0
X472B607A,40.0,CORRAL QUEMADO,-78.69208,-5.75461,427.0,472B607A,2.0,11.1,0.0,0.0
X472B3006,41.0,CUMBA,-78.66413,-5.94135,449.0,472B3006,0.5,7.3,0.0,0.0
X47E94706,42.0,HUAMBOS,-78.96319,-6.45364,2263.0,47E94706,0.5,5.7,0.0,0.0
X4720A6CC,43.0,ISLA LOBOS DE AFUERA,-80.70028,-6.96694,330.0,,,,,
X47E35522,44.0,LA MUCHAL,-79.22389,-6.47906,1701.0,47E35522,2.5,13.8,0.0,0.0
X472B2370,45.0,MAGUNCHAL,-78.18667,-5.88667,675.0,472B2370,0.6,3.0,0.0,0.0
X47201542,46.0,MOTUPE,-79.68203,-6.06692,191.0,47201542,0.5,5.9,0.0,0.0
X220907,47.0,NARANJITO,-78.27598,-5.81968,500.0,220907,0.6,11.8,0.0,0.0
X4726F67E,48.0,OLMOS,-79.81911,-5.83714,120.0,4726F67E,0.4,5.4,0.0,0.0
X47E1E358,49.0,PUENTE AMBAN,-78.91262,-6.58271,1532.0,47E1E358,1.9,5.2,0.0,0.0
X472B55E0,50.0,PUENTE SALINAS AMOJAO,-78.4894,-5.45096,381.0,472B55E0,0.5,2.7,0.0,0.0
X47E1D6C2,51.0,PUENTE SAN CARLOS,-79.27136,-6.61515,334.0,47E1D6C2,0.6,4.6,0.0,0.0
X47E2F720,52.0,TINAJONES,-79.42792,-6.65489,181.0,47E2F720,4.1,18.2,0.0,0.0
X47E207A4,53.0,TONGOD,-78.81392,-6.74456,2488.0,47E207A4,3.9,10.3,0.0,0.0
X47E1F02E,54.0,TUNEL CHOTANO,-78.78432,-6.54049,2027.0,47E1F02E,0.5,4.0,0.0,0.0
X472501F4,55.0,BALSAS,-78.03025,-6.84461,871.0,,,,,
X472680EE,56.0,BAMBAMARCA GORE,-78.52363,-6.67996,2565.0,472680EE,0.7,3.0,0.0,0.0
X4726D092,57.0,BAMBAMARCA H GORE,-78.54119,-6.66975,2866.0,,,,,
X4729F0EC,58.0,CAJABAMBA GORE,-78.05111,-7.62167,2480.0,4729F0EC,1.0,33.5,0.0,0.0
X472D8346,59.0,CALLANCAS,-78.47729,-7.7675,1501.0,472D8346,1.4,3.9,0.0,0.0
X472EB1D2,60.0,CAPACHIQUE,-78.31184,-7.85642,2904.0,472EB1D2,5.0,8.7,0.0,0.0
X472D30C8,61.0,CASA GRANDE,-79.18869,-7.75031,145.0,472D30C8,0.0,0.4,0.0,0.0
X472C92CA,62.0,CASCABAMBA,-78.72682,-7.38407,3390.0,472C92CA,5.6,13.0,0.0,0.0
X472EA2A4,63.0,CASCAS,-78.82367,-7.47987,1251.0,472EA2A4,0.8,2.5,0.0,0.0
X4726631C,64.0,CELENDIN GORE,-78.14487,-6.85303,2602.0,4726631C,2.8,11.0,0.0,0.0
X4720C32A,65.0,CHIMBOTE,-78.52591,-9.15054,11.0,,,,,
X4726C3E4,66.0,CHOTA GORE,-78.67588,-6.55405,2255.0,4726C3E4,1.0,4.3,0.0,0.0
X4727F484,67.0,CHUGUR,-78.73333,-6.66667,2744.0,4727F484,4.2,12.4,0.0,0.0
X472D4658,68.0,COSPAN,-78.54106,-7.42856,2423.0,472D4658,4.3,8.4,0.0,0.0
X472A32FC,69.0,CRISNEJAS,-78.11317,-7.46335,1996.0,472A32FC,0.9,3.7,0.0,0.0
X4726A602,70.0,CUTERVO GORE,-78.81339,-6.37914,2616.0,4726A602,0.9,5.5,0.0,0.0
X47E0A2A8,71.0,EL TAMBO,-78.70694,-7.57417,700.0,47E0A2A8,0.6,2.6,0.0,0.0
X472C81BC,72.0,GUZMANGO,-78.9033,-7.38133,2464.0,472C81BC,4.0,11.7,0.0,0.0
X472A571A,73.0,HUALLAPE,-78.69759,-5.45077,409.0,472A571A,0.4,3.7,0.0,0.0
X47269398,74.0,JAEN GORE,-78.77418,-5.67667,618.0,47269398,0.2,4.1,0.0,0.0
X472D552E,75.0,LUCMA,-78.55135,-7.64333,2219.0,472D552E,1.3,5.0,0.0,0.0
X4720B5BA,76.0,MALABRIGO (SALAVERRY),-79.43425,-7.69287,4.0,,,,,
X472CC2B6,77.0,MARMOT,-78.66725,-7.7635,2925.0,472CC2B6,4.9,12.9,0.0,0.0
X4727319A,78.0,QUIRUVILCA,-78.3079,-8.00419,4047.0,4727319A,2.6,11.6,0.0,0.0
X4727470A,79.0,PUENTE CHILETE,-78.83801,-7.21976,848.0,4727470A,0.6,2.4,0.0,0.0
X472E74CC,80.0,PUENTE COINA,-78.38012,-7.79636,1812.0,472E74CC,2.7,5.2,0.0,0.0
X472E5220,81.0,PUENTE PALMIRA,-78.81051,-7.54919,647.0,472E5220,4.1,16.1,0.0,0.0
X472210B6,82.0,RIO GRANDE GORE,-78.52073,-7.09094,2906.0,,,,,
X47216128,83.0,RONQUILLO,-78.54914,-7.15855,3310.0,,,,,
X4726706A,84.0,SAN IGNACIO GORE,-78.99989,-5.14422,1258.0,,,,,
X4725E206,85.0,SAN MARCOS,-78.17275,-7.32254,2287.0,,,,,
X472645F0,86.0,UNC CAJAMARCA,-78.49307,-7.16747,2673.0,,,,,
X472D60B4,87.0,USQUIL,-78.41497,-7.8186,3123.0,472D60B4,5.5,12.7,0.0,0.0
X4726E508,88.0,YONAN GORE,-79.09909,-7.25592,454.0,4726E508,1.1,9.6,0.0,0.0
X472BF518,89.0,AGOCANCHA,-76.15944,-11.71053,4480.0,,,,,
X472BC082,90.0,ANDACANCHA,-76.46667,-11.16528,4620.0,,,,,
X47E9C112,91.0,ANTACOTO,-76.3625,-11.40778,4484.0,,,,,
X47E244AE,92.0,CALLANCA,-76.76952,-11.38887,2641.0,47E244AE,2.9,7.1,0.0,0.0
X47E323B2,93.0,CARAC,-76.77937,-11.19005,2646.0,47E323B2,1.4,2.8,0.0,0.0
X472364DC,94.0,CARANIA,-75.87215,-12.3444,3820.0,472364DC,2.1,4.0,0.0,0.0
X472D73C2,95.0,CASAPALCA,-76.23333,-11.63806,4233.0,472D73C2,3.1,5.3,0.0,0.0
X4725A10C,96.0,CHAVIN,-77.17529,-9.58598,3140.0,4725A10C,1.1,2.7,0.0,0.0
X47278214,97.0,CHOSICA,-76.68973,-11.92985,867.0,,,,,
X472BD3F4,98.0,COLLAC,-76.4705,-11.36111,4493.0,,,,,
X47E2323E,99.0,CUCHUANCA,-76.7881,-11.20158,2310.0,47E2323E,1.9,4.7,0.0,0.0
X472A218A,100.0,EMA-ANTONIO RAIMONDI,-77.15139,-11.77606,47.0,472A218A,0.0,0.1,0.0,0.0
X4725F170,101.0,HUAROS,-76.56667,-11.4,3585.0,4725F170,2.9,4.9,0.0,0.0
X472CE45A,102.0,MATUCANA,-76.37792,-11.83913,2417.0,472CE45A,1.5,5.4,0.0,0.0
X472D9030,103.0,MARCAPOMACOCHA,-76.32508,-11.40443,4447.0,472D9030,3.0,5.9,0.0,0.0
X47E8C3E8,104.0,MARCAPOMACOCHA EDEGEL,-76.33118,-11.40867,4482.6,,,,,
X472542FE,105.0,MILLOC EDEGEL,-76.35011,-11.57056,4377.0,,,,,
X47E9F488,106.0,OBRAJILLO,-76.62603,-11.45481,2750.0,,,,,
X47E89394,107.0,PACHACOTO,-77.40607,-9.85243,3723.0,47E89394,2.2,37.5,0.0,0.0
X47E31628,108.0,PALLAC EMA,-76.80799,-11.34875,2367.0,47E31628,3.0,5.7,0.0,0.0
X47E9E7FE,109.0,PATAHUAY SAPICANCHA,-76.38294,-11.342,4550.0,,,,,
X47E34654,110.0,PIRCA,-76.65514,-11.23284,3342.0,47E34654,3.9,8.0,0.0,0.0
X47E22148,111.0,PUENTE CALLANTAMA,-76.65701,-11.22343,2773.0,47E22148,1.9,4.0,0.0,0.0
X4721725E,112.0,PUENTE MAGDALENA,-76.83728,-11.6846,935.0,,,,,
X472BE66E,113.0,PUENTE SALIDA MARCAPOMACOCHA,-76.32006,-11.41256,4435.0,,,,,
X47259496,114.0,RECUAY,-77.45365,-9.72919,3431.0,,,,,
X472C07A8,115.0,SAN CRISTOBAL,-76.05328,-11.73986,4680.0,,,,,
X472EC742,116.0,SAN MATEO DE OTAO,-76.56359,-11.84696,3513.0,472EC742,3.3,7.0,0.0,0.0
X472E24B0,117.0,SANTA EULALIA,-76.66664,-11.92,970.0,472E24B0,0.1,0.3,0.0,0.0
X47E33064,118.0,SANTA CRUZ,-76.63487,-11.19827,3583.0,,,,,
X472CA750,119.0,SANTIAGO DE TUNA,-76.52415,-11.98311,2924.0,472CA750,1.7,4.7,0.0,0.0
X47E214D2,120.0,SANTO DOMINGO,-77.02833,-11.37,620.0,47E214D2,0.1,0.3,0.0,0.0
X4724966C,121.0,SAYAN,-77.19833,-11.13472,647.0,,,,,
X472CD1C0,122.0,SHEQUE,-76.5023,-11.66095,3188.0,,,,,
X472C2144,123.0,TOROCOCHA,-76.44328,-11.368,4410.0,,,,,
X47E257D8,124.0,VICHAYCOCHA,-76.62455,-11.13916,3533.0,47E257D8,1.9,22.8,0.0,0.0
X472A0766,125.0,VILLA MARIA DEL TRIUNFO,-76.92,-12.16639,292.0,,,,,
X472AC278,126.0,VON HUMBOLDT,-76.93931,-12.08221,247.0,472AC278,0.0,0.3,0.0,0.0
X4726B574,127.0,YURACMAYO EDEGEL,-76.15556,-11.84056,4320.0,,,,,
X472A446C,128.0,BETA SANTIAGO,-75.67022,-14.23739,386.0,472A446C,0.0,0.1,0.0,0.0
X472811E4,129.0,CHALLACA,-75.39056,-13.79194,1880.0,,,,,
X47284198,130.0,CHALLACA GORE,-75.40066,-13.78826,1712.0,47284198,0.4,1.8,0.0,0.0
X4728A26A,131.0,CONTA GORE,-75.97517,-13.43936,313.0,,,,,
X47262016,132.0,CORA CORA,-73.77917,-15.01139,3200.0,47262016,1.8,5.3,0.0,0.0
X4728C78C,133.0,CUSICANCHA GORE,-75.3,-13.48333,2680.0,,,,,
X47290068,134.0,HUAC-HUAS GORE,-74.94583,-14.12861,3080.0,,,,,
X47283708,135.0,HUALLPOCA GORE,-74.95588,-14.632,683.0,47283708,0.0,1.2,0.0,0.0
X4728247E,136.0,LETRAYOC GORE,-75.71889,-13.63972,776.0,,,,,
X47255188,137.0,OCUCAJE,-75.68206,-14.37839,324.0,,,,,
X4725B27A,138.0,PAUCARAY,-73.63833,-14.04361,3106.0,4725B27A,0.2,1.5,0.0,0.0
X4720E5C6,139.0,SAN JUAN DE MARCONA,-75.15036,-15.34721,5.0,,,,,
X113061,140.0,SAN PEDRO DE HUACARPANA GORE,-75.64806,-13.04889,3630.0,,,,,
X4729131E,141.0,SANTIAGO DE CHOCORVOS GORE,-75.25,-13.83333,3240.0,,,,,
X47E26242,142.0,BOLLADERO,-72.00886,-16.58989,994.0,47E26242,0.0,0.0,0.0,0.0
X4723D752,143.0,CHIVAY,-71.60169,-15.64163,3644.0,4723D752,1.3,3.9,0.0,0.0
X47E8A60E,144.0,COTACOTA,-71.38955,-15.21331,4240.0,,,,,
X47280292,145.0,COTAHUASI,-72.89331,-15.21134,2683.0,47280292,3.9,5.8,0.0,0.0
X47E3903C,146.0,CRUCERO ALTO,-70.911,-15.76448,4511.0,47E3903C,2.2,5.1,0.0,0.0
X4729E39A,147.0,EMA PAMPA DE MAJES,-72.15266,-16.33565,1498.0,,,,,
X47E3A5A6,148.0,HUANCA,-71.88108,-16.03458,3065.0,,,,,
X47E3834A,149.0,IMATA,-71.09062,-15.84266,4475.0,47E3834A,0.0,305.5,0.0,0.0
X472A8172,150.0,LA ANGOSTURA,-71.65124,-15.18255,4258.0,472A8172,2.8,6.9,0.0,0.0
X472D23BE,151.0,OCO?A,-73.1145,-16.427,23.0,472D23BE,0.0,0.0,0.0,0.0
X47E360B8,152.0,PATAHUASI,-71.41481,-16.05542,4035.0,47E360B8,0.5,3.9,0.0,0.0
X47E373CE,153.0,PILLONES,-71.21333,-15.97861,4455.0,,,,,
X47E3B6D0,154.0,SAN JOSE DE UZUNA,-71.32836,-16.58103,3269.0,47E3B6D0,1.9,4.5,0.0,0.0
X47E27134,155.0,SOCOSANI,-71.72056,-16.25944,2325.0,47E27134,0.2,1.6,0.0,0.0
X472ED434,156.0,SUMBAY,-71.11667,-15.81667,4403.0,472ED434,1.0,2.9,0.0,0.0
X472EE1AE,157.0,TINGO GRANDE,-71.57431,-16.45992,2196.0,472EE1AE,2.9,12.0,0.0,0.0
X114119,158.0,VISCA VISCA,-71.9787,-14.7228,4247.0,114119,1.7,3.9,0.0,0.0
X47E2B42A,159.0,BOCATOMA EL AYRO,-69.62672,-17.57994,4258.0,47E2B42A,2.8,5.0,0.0,0.0
X47E2C2BA,160.0,CANDARAVE,-70.25519,-17.26708,3476.0,47E2C2BA,1.2,4.5,0.0,0.0
X47E143A0,161.0,CAPLINA,-69.91656,-17.69071,3561.0,47E143A0,0.7,1.9,0.0,0.0
X47E13530,162.0,CERRO BLANCO,-70.15224,-17.96844,885.0,47E13530,0.0,0.1,0.0,0.0
